tree	group	V1	V2	V3	V4	V5	V6
classic1_STATE_831100000	classic1	34.3867589583727	15.507438429959	1.29274281057146	-6.26080470731988	2.41414299784192	12.5215584326753
classic1_STATE_832780000	classic1	37.6518595271206	3.45576662974704	-22.6883115010916	-26.458730670787	-19.9785386841055	-25.0840169415416
classic1_STATE_834450000	classic1	30.1545996933569	12.1172861564287	10.4143250314537	-1.82484481568918	6.05600999254568	-6.14771843721681
classic1_STATE_836120000	classic1	27.4573879011377	10.8583558799546	16.6710460534414	-7.56320898094844	-2.23393847463999	10.2592051691719
classic1_STATE_837790000	classic1	29.1665273234594	4.58155762152359	-19.5425973356387	-17.0646044245155	0.161328688730968	15.9703992722737
classic1_STATE_839460000	classic1	17.3020311665	-0.0670728474156493	-30.2948928409185	-0.595262318133581	15.9457699534886	-17.0396397656058
classic1_STATE_841140000	classic1	-5.99620518641092	13.2032132247058	12.3170159165656	-0.801152283706088	3.77806519465231	-0.668742392378227
classic1_STATE_842810000	classic1	17.4837431263142	1.4753593331435	11.4821195443797	25.8589163467053	-12.3538756473801	13.8042926308323
classic1_STATE_844480000	classic1	33.5191116390271	1.37148127177495	-27.1275528482568	20.5946509428883	-16.5890321453688	5.33724160337366
classic1_STATE_846150000	classic1	29.5040345582992	1.15892623251847	-7.78929154527157	-10.2109450870858	10.4732525404032	9.7882184525821
classic1_STATE_847830000	classic1	32.1620958782284	4.14373295388075	-11.7823374988555	-12.8648745602335	-0.967949835520817	16.7510513087328
